datetime,BTC_transactions,BTC_av_trans_value_USD,BTC_tweets,BTC_google_trends,ETH_transactions,ETH_av_trans_value_USD,ETH_tweets,ETH_google_trends,DOGE_transactions,DOGE_av_trans_value_USD,DOGE_tweets,DOGE_google_trends
2021-06-26,181539.0,307811.0,105096.0,122.604,1150460.0,2279.0,20099.0,35.813,22690.0,102847.0,34718.0,9.347
2021-06-27,121480.0,347266.0,122259.0,120.708,1104547.0,2536.0,14921.0,33.976,23074.0,112581.0,33726.0,8.97
2021-06-28,220912.0,260018.0,128407.0,122.94,1404100.0,3673.0,26153.0,37.629,25199.0,105561.0,31073.0,9.605
2021-06-29,205526.0,237973.0,120506.0,120.518,1264320.0,4270.0,27967.0,41.102,26881.0,160525.0,38479.0,8.883
2021-06-30,215216.0,196531.0,110739.0,109.874,1212214.0,3652.0,23377.0,35.1,23917.0,295062.0,35808.0,7.888
2021-07-01,233587.0,241264.0,110932.0,100.573,1211710.0,5270.0,23095.0,32.497,24635.0,90369.0,44033.0,10.516
2021-07-02,188478.0,305908.0,101685.0,95.593,1181574.0,4984.0,29924.0,29.386,21892.0,118035.0,37396.0,10.287
2021-07-03,237336.0,187228.0,92900.0,93.865,1122543.0,1920.0,29342.0,30.85,19309.0,183735.0,38298.0,8.03
2021-07-04,171735.0,325788.0,85810.0,93.621,1105343.0,2205.0,20533.0,36.183,19913.0,141591.0,30554.0,8.523
2021-07-05,223628.0,219568.0,88486.0,96.809,1147895.0,3135.0,21048.0,32.186,19698.0,175222.0,32759.0,7.372
2021-07-06,228137.0,199415.0,95429.0,93.197,1355421.0,3426.0,24745.0,32.762,20015.0,725142.0,34306.0,7.331
2021-07-07,221104.0,207074.0,111493.0,87.59,1290979.0,4046.0,29445.0,32.885,20216.0,781595.0,34789.0,6.974
2021-07-08,230580.0,463739.0,108695.0,95.419,1262627.0,5608.0,31441.0,32.829,20439.0,829658.0,37339.0,8.028
2021-07-09,227380.0,499498.0,98121.0,88.519,1223691.0,4211.0,23852.0,32.173,20037.0,684638.0,42636.0,8.439
2021-07-10,187102.0,333989.0,85014.0,78.841,1139120.0,2710.0,20983.0,26.125,19537.0,612560.0,40958.0,6.566
2021-07-11,166019.0,378164.0,70863.0,77.156,1101766.0,1466.0,19809.0,25.162,17903.0,535267.0,32808.0,5.966
2021-07-12,220143.0,256595.0,98470.0,88.491,1191465.0,4409.0,25346.0,27.428,18134.0,505032.0,30280.0,6.144
2021-07-13,229780.0,216536.0,141201.0,88.205,1183412.0,3626.0,25896.0,29.073,17758.0,656579.0,30968.0,6.374
2021-07-14,236047.0,206898.0,98812.0,92.291,1222896.0,4128.0,26610.0,33.116,18493.0,616078.0,33929.0,6.748
2021-07-15,226106.0,262533.0,92346.0,91.168,1259972.0,3131.0,22549.0,28.161,18984.0,476261.0,33224.0,7.169
2021-07-16,223316.0,259940.0,86926.0,91.803,1199018.0,4441.0,17381.0,30.013,19457.0,611416.0,28783.0,7.227
2021-07-17,181904.0,322240.0,73357.0,83.576,1164624.0,1912.0,19674.0,25.591,19691.0,420679.0,41310.0,7.347
2021-07-18,160978.0,231237.0,75089.0,81.711,1168843.0,1910.0,24221.0,26.435,17358.0,454430.0,32911.0,6.688
2021-07-19,226633.0,247413.0,83081.0,100.791,1195218.0,3420.0,19768.0,30.196,17961.0,423155.0,30140.0,7.502
2021-07-20,230387.0,235672.0,102358.0,124.496,1192750.0,3266.0,26513.0,35.199,19345.0,397021.0,45282.0,7.933
2021-07-21,235535.0,248098.0,150305.0,117.319,1195171.0,4325.0,32606.0,31.89,20993.0,349782.0,44299.0,8.048
2021-07-22,230129.0,252322.0,106901.0,104.271,1202844.0,3619.0,29734.0,34.12,18797.0,339097.0,48733.0,7.348
